timestamp,location,lat,lon,current_speed,free_flow_speed,confidence,weather
11/6/2025 22:03:42,Esplanade,22.5726,88.3639,17,22,0.677248,haze
11/6/2025 22:03:43,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 22:03:43,Howrah Bridge,22.585,88.3468,20,23,1,haze
11/6/2025 22:03:44,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 22:03:45,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 22:13:43,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 22:13:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 22:13:45,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 22:13:46,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 22:13:46,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 22:23:44,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 22:23:45,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 22:23:45,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 22:23:46,EM Bypass,22.4989,88.4122,20,24,0.856173,haze
11/6/2025 22:23:46,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 22:33:44,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 22:33:45,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 22:33:46,Howrah Bridge,22.585,88.3468,20,23,1,haze
11/6/2025 22:33:46,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 22:33:47,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 22:43:44,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 22:43:45,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 22:43:45,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 22:43:46,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 22:43:47,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 22:53:43,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 22:53:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 22:53:44,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 22:53:45,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 22:53:46,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 23:03:44,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 23:03:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 23:03:45,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 23:03:46,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 23:03:47,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 23:13:43,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 23:13:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 23:13:45,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 23:13:45,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 23:13:47,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 23:23:43,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 23:23:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 23:23:44,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 23:23:45,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 23:23:45,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 23:33:43,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 23:33:44,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 23:33:44,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 23:33:45,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 23:33:45,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 23:43:44,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 23:43:45,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 23:43:46,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 23:43:47,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 23:43:47,Airport,22.6394,88.4467,19,19,1,haze
11/6/2025 23:53:42,Esplanade,22.5726,88.3639,23,23,1,haze
11/6/2025 23:53:43,Salt Lake,22.5867,88.4173,26,26,1,haze
11/6/2025 23:53:43,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/6/2025 23:53:44,EM Bypass,22.4989,88.4122,25,25,1,haze
11/6/2025 23:53:44,Airport,22.6394,88.4467,19,19,1,haze
11/7/2025 0:03:46,Esplanade,22.5726,88.3639,23,23,1,haze
11/7/2025 0:03:46,Salt Lake,22.5867,88.4173,26,26,1,haze
11/7/2025 0:03:48,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/7/2025 0:03:49,EM Bypass,22.4989,88.4122,25,25,1,haze
11/7/2025 0:03:50,Airport,22.6394,88.4467,19,19,1,haze
11/7/2025 0:13:43,Esplanade,22.5726,88.3639,23,23,1,haze
11/7/2025 0:13:43,Salt Lake,22.5867,88.4173,26,26,1,haze
11/7/2025 0:13:44,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/7/2025 0:13:45,EM Bypass,22.4989,88.4122,25,25,1,haze
11/7/2025 0:13:46,Airport,22.6394,88.4467,19,19,1,haze
11/7/2025 0:23:42,Esplanade,22.5726,88.3639,23,23,1,haze
11/7/2025 0:23:43,Salt Lake,22.5867,88.4173,26,26,1,haze
11/7/2025 0:23:43,Howrah Bridge,22.585,88.3468,24,24,1,haze
11/7/2025 0:23:44,EM Bypass,22.4989,88.4122,25,25,1,haze
11/7/2025 0:23:44,Airport,22.6394,88.4467,19,19,1,haze
11/7/2025 0:33:43,Esplanade,22.5726,88.3639,23,23,1,haze
