timestamp,location,lat,lon,current_speed,free_flow_speed,confidence
9/6/2025 13:32:54,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 13:32:55,Howrah Bridge,22.585,88.3468,12,23,1
9/6/2025 13:32:56,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 13:32:56,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:37:52,Esplanade,22.5726,88.3639,18,23,0.537048
9/6/2025 13:37:53,Salt Lake,22.5867,88.4173,24,26,0.991632
9/6/2025 13:37:53,Howrah Bridge,22.585,88.3468,13,23,1
9/6/2025 13:37:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 13:37:56,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:42:53,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 13:42:54,Salt Lake,22.5867,88.4173,24,26,0.988843
9/6/2025 13:42:54,Howrah Bridge,22.585,88.3468,13,23,0.999549
9/6/2025 13:42:55,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 13:42:55,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:47:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 13:47:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 13:47:54,Howrah Bridge,22.585,88.3468,13,23,1
9/6/2025 13:47:56,EM Bypass,22.4989,88.4122,20,25,0.92976
9/6/2025 13:47:56,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:52:54,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 13:52:54,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 13:52:55,Howrah Bridge,22.585,88.3468,12,24,0.999351
9/6/2025 13:52:56,EM Bypass,22.4989,88.4122,20,25,0.939925
9/6/2025 13:52:57,Airport,22.6394,88.4467,19,19,1
9/6/2025 13:57:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 13:57:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 13:57:53,Howrah Bridge,22.585,88.3468,15,24,1
9/6/2025 13:57:53,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 13:57:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:02:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:02:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:02:53,Howrah Bridge,22.585,88.3468,13,23,0.998934
9/6/2025 14:02:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:02:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:07:54,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:07:54,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:07:55,Howrah Bridge,22.585,88.3468,12,23,0.998871
9/6/2025 14:07:55,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:07:56,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:12:55,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:12:55,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:12:56,Howrah Bridge,22.585,88.3468,14,24,0.998934
9/6/2025 14:12:56,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:12:57,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:17:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:17:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:17:54,Howrah Bridge,22.585,88.3468,13,24,0.998437
9/6/2025 14:17:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:17:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:22:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:22:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:22:53,Howrah Bridge,22.585,88.3468,14,24,0.99816
9/6/2025 14:22:53,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:22:53,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:27:53,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:27:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:27:54,Howrah Bridge,22.585,88.3468,15,23,1
9/6/2025 14:27:55,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:27:55,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:32:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:32:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:32:53,Howrah Bridge,22.585,88.3468,14,23,1
9/6/2025 14:32:53,EM Bypass,22.4989,88.4122,20,24,0.975044
9/6/2025 14:32:53,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:37:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:37:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:37:54,Howrah Bridge,22.585,88.3468,15,24,1
9/6/2025 14:37:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:37:55,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:42:54,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:42:55,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:42:55,Howrah Bridge,22.585,88.3468,13,23,1
9/6/2025 14:42:56,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:42:56,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:47:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:47:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:47:53,Howrah Bridge,22.585,88.3468,13,23,1
9/6/2025 14:47:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:47:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:52:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:52:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:52:53,Howrah Bridge,22.585,88.3468,14,24,1
9/6/2025 14:52:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:52:55,Airport,22.6394,88.4467,19,19,1
9/6/2025 14:57:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 14:57:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 14:57:54,Howrah Bridge,22.585,88.3468,14,23,1
9/6/2025 14:57:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 14:57:55,Airport,22.6394,88.4467,19,19,1
9/6/2025 15:02:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 15:02:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 15:02:52,Howrah Bridge,22.585,88.3468,15,23,1
9/6/2025 15:02:53,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 15:02:53,Airport,22.6394,88.4467,19,19,1
9/6/2025 15:07:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 15:07:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 15:07:53,Howrah Bridge,22.585,88.3468,15,23,1
9/6/2025 15:07:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 15:07:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 15:12:52,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 15:12:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 15:12:53,Howrah Bridge,22.585,88.3468,15,24,1
9/6/2025 15:12:53,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 15:12:53,Airport,22.6394,88.4467,19,19,1
9/6/2025 15:17:55,Esplanade,22.5726,88.3639,23,23,1
9/6/2025 15:17:56,Salt Lake,22.5867,88.4173,22,26,0.969318
9/6/2025 15:17:57,Howrah Bridge,22.585,88.3468,14,24,1
9/6/2025 15:17:57,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 15:17:57,Airport,22.6394,88.4467,19,19,1
9/6/2025 15:22:52,Esplanade,22.5726,88.3639,15,22,0.555573
9/6/2025 15:22:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 15:22:52,Howrah Bridge,22.585,88.3468,13,24,0.998727
9/6/2025 15:22:53,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 15:22:53,Airport,22.6394,88.4467,19,19,1
9/6/2025 15:27:52,Esplanade,22.5726,88.3639,15,22,0.555573
9/6/2025 15:27:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 15:27:53,Howrah Bridge,22.585,88.3468,14,24,1
9/6/2025 15:27:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 15:27:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 15:32:52,Esplanade,22.5726,88.3639,15,22,0.555573
9/6/2025 15:32:52,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 15:32:53,Howrah Bridge,22.585,88.3468,15,23,1
9/6/2025 15:32:54,EM Bypass,22.4989,88.4122,25,25,1
9/6/2025 15:32:54,Airport,22.6394,88.4467,19,19,1
9/6/2025 15:37:53,Esplanade,22.5726,88.3639,15,22,0.555573
9/6/2025 15:37:53,Salt Lake,22.5867,88.4173,27,27,1
9/6/2025 15:37:54,Howrah Bridge,22.585,88.3468,13,23,0.999549
